datum;kostenart;betrag;kostenstelle;ist_ausreisser
2024-03-12;Energie;41256;Verwaltung;False
2024-01-04;Miete;45435;IT;False
2024-08-16;Miete;49788;Verwaltung;False
2024-10-25;Unbekannt;37141;Produktion;False
2024-11-30;Miete;34071;Vertrieb;False
2024-12-07;Material;671709;IT;True
2024-03-22;Energie;71108;Logistik;False
2024-06-08;Material;735397;Verwaltung;True
2024-11-10;Personal;250028;Vertrieb;True
2024-09-01;Personal;375887;IT;True
2024-07-31;Sonstiges;69633;IT;False
2024-10-02;Personal;222923;Vertrieb;True
2024-09-26;Energie;888888;Logistik;True
2024-07-04;Material;467659;Logistik;True
2024-02-01;Sonstiges;33248;Logistik;False
2024-10-20;Sonstiges;30783;Vertrieb;False
2024-06-16;Sonstiges;27617;IT;False
2024-12-14;Personal;436286;Logistik;True
2024-02-16;Sonstiges;23646;IT;False
2024-08-20;Personal;397802;Logistik;True
2024-04-22;Sonstiges;56621;Produktion;False
2024-08-24;Miete;55948;Produktion;False
2024-05-10;Material;426577;Vertrieb;True
2024-01-24;Energie;70900;Verwaltung;False
2024-02-02;Sonstiges;24523;Produktion;False
2024-08-29;Material;778728;Verwaltung;True
2024-04-02;Personal;376325;IT;True
2024-07-14;Energie;49618;IT;False
2024-02-11;Sonstiges;62830;Vertrieb;False
2024-06-27;Material;762151;Vertrieb;True
2024-09-27;Personal;181821;Vertrieb;False
2024-01-12;Miete;74138;IT;False
2024-10-05;Energie;49856;Logistik;False
2024-04-27;Personal;361487;IT;True
2024-03-20;Miete;87357;Vertrieb;False
2024-02-27;Material;366405;IT;True
2024-05-03;Personal;232898;Produktion;True
2024-10-31;Material;401040;IT;True
2024-05-05;Material;810285;IT;True
2024-04-29;Sonstiges;69439;Vertrieb;False
2024-01-29;Personal;331657;Logistik;True
2024-04-29;Sonstiges;57845;Verwaltung;False
2024-11-02;Miete;49776;Vertrieb;False
2024-03-14;Sonstiges;47103;Vertrieb;False
2024-06-02;Miete;66485;Produktion;False
2024-10-29;Personal;439848;IT;True
2024-01-25;Miete;81498;IT;False
2024-09-25;Miete;56755;IT;False
2024-03-17;Miete;42050;IT;False
2024-10-02;Energie;39768;Vertrieb;False
2024-06-02;Personal;210211;IT;True
2024-10-14;Energie;61522;IT;False
2024-09-28;Personal;307327;IT;True
2024-05-10;Personal;221455;Verwaltung;True
2024-08-18;Miete;65103;Produktion;False
2024-04-07;Material;745489;Verwaltung;True
2024-12-10;Sonstiges;22591;Logistik;False
2024-02-07;Personal;293779;Logistik;True
2024-09-02;Personal;338957;Verwaltung;True
2024-01-08;Personal;241507;Vertrieb;True
2024-09-02;Personal;287223;Logistik;True
2024-07-22;Personal;348618;Logistik;True
2024-05-24;Energie;59973;IT;False
