produktgruppe;menge;wert;letzte_bewegung
Software;47;42159;2024-09-09
Software;94;109792;2024-07-11
Maschinen;127;26106;2024-11-29
Ersatzteile;46;44804;2024-02-07
Maschinen;80;7280;2024-06-12
Wartung;31;6231;2024-06-24
Ersatzteile;101;38279;2024-02-08
Service;28;20776;2024-10-31
Service;128;190976;2024-01-16
Software;172;66564;2024-11-06
Software;45;7155;2024-02-21
Wartung;57;25023;2024-07-28
Service;189;218484;2024-05-15
Wartung;81;43416;2024-02-19
Maschinen;105;128100;2024-10-08
Software;44;7084;2024-07-03
Maschinen;114;26106;2024-05-30
Service;127;58166;2024-02-19
Maschinen;57;22743;2024-11-22
Wartung;25;25475;2024-02-29
Wartung;106;107484;2024-09-07
Wartung;28;38192;2024-10-05
Software;52;42068;2024-07-14
Wartung;52;50024;2024-01-23
Wartung;117;117234;2024-05-14
Ersatzteile;73;87965;2024-02-01
Ersatzteile;197;290772;2024-12-07
Maschinen;26;36868;2024-06-25
Service;110;138270;2024-04-26
Service;20;16840;2024-09-24
Software;142;206894;2024-08-31
Service;65;66625;2024-06-02
Maschinen;106;12826;2024-09-14
Service;137;167140;2024-12-12
Service;42;12432;2024-08-17
Ersatzteile;47;22701;2024-04-08
Ersatzteile;15;13755;2024-02-10
Software;56;74704;2024-03-16
Service;71;49984;2024-02-04
Maschinen;104;123656;2024-07-22
