kunde;rechnungsnummer;rechnungsdatum;faelligkeitsdatum;betrag;status
Mueller GmbH;RE-2024-0001;2024-11-01;2024-12-01;43421;offen
Fa. Müller;RE-2024-0002;2024-05-28;2024-07-12;113461;offen
Schmidt AG;RE-2024-0003;2024-03-10;2024-05-09;8770;offen
TechBau GmbH;RE-2024-0004;2024-12-25;2025-01-24;33725;offen
TechBau GmbH;RE-2024-0005;2024-12-30;;109590;offen
IndustriePartner KG;RE-2024-0006;2024-12-12;2025-02-10;65154;offen
TechBau GmbH;RE-2024-0007;2024-10-22;2024-12-06;83288;überfällig
Meier Produktion GmbH;RE-2024-0008;2024-02-08;2024-02-22;53802;offen
NordMaschinen GmbH;RE-2024-0009;05.02.2024;2025-02-04;60597;offen
Meier Produktion GmbH;RE-2024-0010;2024-06-16;2024-06-30;114889;offen
Schmidt AG;RE-2024-0011;2024-08-22;2024-10-06;999999;überfällig
HanseTech AG;RE-2024-0012;2024-07-22;2024-08-21;57314;offen
Meier Produktion GmbH;RE-2024-0013;2024-05-17;2024-07-01;109572;überfällig
HanseTech AG;RE-2024-0014;2024-10-22;2024-11-21;75205;offen
Alpha Components GmbH;RE-2024-0015;2024-12-15;2024-12-29;7021;überfällig
Meier Produktion GmbH;RE-2024-0016;2024-01-09;2024-01-23;113414;überfällig
Meier Produktion GmbH;RE-2024-0017;2024-01-01;2024-03-01;27518;offen
TechBau GmbH;RE-2024-0018;2024-11-28;2025-01-12;21837;offen
NordMaschinen GmbH;RE-2024-0019;2024-02-17;2024-04-02;33819;überfällig
TechBau GmbH;RE-2024-0020;2024-01-27;2024-03-27;82999;überfällig
IndustriePartner KG;RE-2024-0021;2024-08-07;2024-08-21;93235;überfällig
IndustriePartner KG;RE-2024-0022;2024-09-01;2024-09-15;18393;offen
HanseTech AG;RE-2024-0023;2024-12-14;2025-02-12;2217;offen
Müller GmbH;RE-2024-0024;2024-12-22;2025-02-05;108100;offen
Schmidt AG;RE-2024-0025;2024-08-04;2024-09-03;63613;überfällig
KraftWerk Solutions;RE-2024-0026;2024-02-15;2024-02-29;14526;überfällig
NordMaschinen GmbH;RE-2024-0027;2024-03-11;2024-05-10;102379;offen
TechBau GmbH;RE-2024-0028;2024-11-24;2024-12-24;9966;offen
Müller GmbH;RE-2024-0029;2024-11-08;2024-12-08;58684;überfällig
IndustriePartner KG;RE-2024-0030;2024-11-17;2024-12-17;54963;offen
Meier Produktion GmbH;RE-2024-0031;2024-04-21;2024-05-05;118518;überfällig
Schmidt AG;RE-2024-0032;2024-10-28;2024-12-27;47076;offen
Alpha Components GmbH;RE-2024-0033;2024-03-12;2024-04-11;37302;offen
IndustriePartner KG;RE-2024-0034;2024-10-10;2024-11-24;103101;offen
Müller GmbH;RE-2024-0035;2024-12-03;2025-01-17;27928;offen
HanseTech AG;RE-2024-0036;2024-11-06;2024-12-06;99021;überfällig
Müller GmbH;RE-2024-0037;2024-05-02;2024-07-01;51578;überfällig
Meier Produktion GmbH;RE-2024-0038;2024-11-22;2024-12-06;70243;offen
Müller GmbH;RE-2024-0039;2024-07-03;2024-08-17;18299;überfällig
Bergmann Anlagenbau;RE-2024-0040;2024-08-03;2024-09-17;72612;offen
Meier Produktion GmbH;RE-2024-0041;2024-02-07;2024-02-21;77986;überfällig
NordMaschinen GmbH;RE-2024-0042;2024-04-20;2024-05-04;8925;offen
KraftWerk Solutions;RE-2024-0043;2024-09-16;2024-10-31;83388;offen
KraftWerk Solutions;RE-2024-0044;2024-08-04;2024-10-03;11803;offen
HanseTech AG;RE-2024-0045;2024-11-11;2024-12-11;37368;überfällig
Schmidt AG;RE-2024-0046;2024-09-18;2024-10-18;106914;überfällig
Alpha Components GmbH;RE-2024-0047;2024-07-19;2024-08-02;41654;offen
IndustriePartner KG;RE-2024-0048;2024-01-30;2024-02-29;12300;offen
Schmidt AG;RE-2024-0049;2024-08-20;2024-09-03;41539;offen
TechBau GmbH;RE-2024-0050;2024-03-02;2024-03-16;93785;überfällig
Müller GmbH;RE-2024-0051;2024-03-24;2024-05-23;46443;offen
NordMaschinen GmbH;RE-2024-0052;2024-03-26;2024-05-10;17637;offen
NordMaschinen GmbH;RE-2024-0053;2024-03-01;2024-03-15;44910;offen
NordMaschinen GmbH;RE-2024-0054;2024-09-25;2024-10-09;35465;offen
Bergmann Anlagenbau;RE-2024-0055;2024-11-17;2024-12-01;66031;überfällig
Alpha Components GmbH;RE-2024-0056;2024-01-29;2024-03-29;113638;offen
Alpha Components GmbH;RE-2024-0057;2024-03-21;2024-05-05;102361;überfällig
Bergmann Anlagenbau;RE-2024-0058;2024-12-11;2024-12-25;30937;offen
Müller GmbH;RE-2024-0059;2024-01-23;2024-02-06;33053;überfällig
Alpha Components GmbH;RE-2024-0060;2024-07-15;2024-08-14;24456;offen
Müller GmbH;RE-2024-0061;2024-10-10;2024-12-09;30427;überfällig
KraftWerk Solutions;RE-2024-0062;2024-06-12;2024-07-27;109265;überfällig
Alpha Components GmbH;RE-2024-0063;2024-03-02;2024-03-16;24507;überfällig
HanseTech AG;RE-2024-0064;2024-01-24;2024-03-24;10034;offen
NordMaschinen GmbH;RE-2024-0065;2024-06-08;2024-07-23;12322;offen
Müller GmbH;RE-2024-0066;2024-07-07;2024-08-06;39219;offen
NordMaschinen GmbH;RE-2024-0067;2024-11-14;2024-12-14;61807;überfällig
Meier Produktion GmbH;RE-2024-0068;2024-04-10;2024-05-10;20735;überfällig
KraftWerk Solutions;RE-2024-0069;2024-01-13;2024-02-12;71981;überfällig
Müller GmbH;RE-2024-0070;2024-06-20;2024-07-04;100474;offen
NordMaschinen GmbH;RE-2024-0071;2024-02-23;2024-03-24;70443;offen
KraftWerk Solutions;RE-2024-0072;2024-09-08;2024-09-22;19661;offen
Schmidt AG;RE-2024-0073;2024-01-23;2024-02-22;118609;offen
KraftWerk Solutions;RE-2024-0074;2024-12-24;2025-02-07;61091;offen
Schmidt AG;RE-2024-0075;2024-10-24;2024-11-07;67247;überfällig
KraftWerk Solutions;RE-2024-0076;2024-02-08;2024-02-22;58014;offen
TechBau GmbH;RE-2024-0077;2024-05-01;2024-06-15;35208;offen
KraftWerk Solutions;RE-2024-0078;2024-12-24;2025-02-07;42688;offen
Meier Produktion GmbH;RE-2024-0079;2024-05-19;2024-06-18;10789;offen
TechBau GmbH;RE-2024-0080;2024-10-26;2024-11-09;21369;überfällig
Meier Produktion GmbH;RE-2024-0008;2024-02-08;2024-02-22;53802;offen
