datum;kostenart;betrag;kostenstelle
2024-03-12;Energie;41256;Verwaltung
2024-01-04;Miete;45435;IT
2024-08-16;Miete;49788;Verwaltung
2024-10-25;;37141;Produktion
2024-11-30;Miete;34071;Vertrieb
2024-12-07;Material;671709;IT
2024-03-22;Energie;71108;Logistik
2024-06-08;Material;735397;Verwaltung
2024-11-10;Personal;250028;Vertrieb
2024-09-01;Personal;375887;IT
2024-07-31;Sonstiges;69633;IT
2024-10-02;Personal;222923;Vertrieb
2024-09-26;Energie;888888;Logistik
2024-07-04;Material;467659;Logistik
2024-02-01;Sonstiges;33248;Logistik
2024-10-20;Sonstiges;30783;Vertrieb
2024-06-16;Sonstiges;27617;IT
2024-12-14;Personal;436286;Logistik
2024-02-16;Sonstiges;23646;IT
2024-08-20;Personal;397802;Logistik
22.04.2024;Sonstiges;56621;Produktion
2024-08-24;Miete;55948;Produktion
2024-05-10;Material;426577;Vertrieb
2024-01-24;Energie;70900;Verwaltung
2024-02-02;Sonstiges;24523;Produktion
2024-08-29;Material;778728;Verwaltung
2024-04-02;Personal;376325;IT
2024-07-14;Energie;49618;IT
2024-02-11;Sonstiges;62830;Vertrieb
2024-06-27;Material;762151;Vertrieb
2024-09-27;Personal;181821;Vertrieb
2024-01-12;Miete;74138;IT
2024-10-05;Energie;49856;Logistik
2024-04-27;Personal;361487;IT
2024-03-20;Miete;87357;Vertrieb
2024-02-27;Material;366405;IT
2024-05-03;Personal;232898;Produktion
2024-10-31;Material;401040;IT
2024-05-05;Material;810285;IT
2024-04-29;Sonstiges;69439;Vertrieb
2024-01-29;Personal;331657;Logistik
2024-04-29;Sonstiges;57845;Verwaltung
2024-11-02;Miete;49776;Vertrieb
2024-03-14;Sonstiges;47103;Vertrieb
2024-06-02;Miete;66485;Produktion
2024-10-29;Personal;439848;IT
2024-01-25;Miete;81498;IT
2024-09-25;Miete;56755;IT
2024-03-17;Miete;42050;IT
2024-10-02;Energie;39768;Vertrieb
2024-06-02;Personal;210211;IT
2024-10-14;Energie;61522;IT
2024-09-28;Personal;307327;IT
2024-05-10;Personal;221455;Verwaltung
2024-08-18;Miete;65103;Produktion
2024-04-07;Material;745489;Verwaltung
2024-12-10;Sonstiges;22591;Logistik
2024-02-07;Personal;293779;Logistik
2024-09-02;Personal;338957;Verwaltung
2024-01-08;Personal;241507;Vertrieb
2024-09-02;Personal;287223;Logistik
2024-07-22;Personal;348618;Logistik
2024-05-24;Energie;59973;IT
2024-11-28;Miete;47141;Verwaltung
2024-07-03;Sonstiges;50540;IT
2024-02-20;Energie;38312;Verwaltung
2024-07-08;Miete;32996;IT
2024-10-15;Personal;188503;Vertrieb
2024-05-13;Sonstiges;57954;Logistik
2024-08-01;Miete;42857;Vertrieb
2024-06-17;Personal;308833;IT
2024-09-12;Sonstiges;36864;Verwaltung
2024-09-07;Energie;36025;IT
2024-06-29;Personal;436018;Vertrieb
2024-04-04;Sonstiges;54337;Produktion
2024-01-18;Material;356693;Produktion
2024-07-30;Personal;215634;Vertrieb
2024-12-28;Personal;294672;Produktion
2024-09-15;Energie;28961;Verwaltung
2024-11-12;Sonstiges;63206;IT
2024-09-06;Material;781319;Produktion
2024-01-07;Material;638086;Logistik
2024-10-01;Miete;62913;Produktion
2024-12-23;Energie;32013;Vertrieb
2024-02-19;Sonstiges;35792;Vertrieb
2024-04-08;Sonstiges;36542;Logistik
2024-06-30;Miete;35178;IT
2024-07-10;Energie;62027;IT
2024-05-04;Personal;222266;Verwaltung
2024-11-30;Material;774965;Produktion
2024-07-13;Energie;56195;Logistik
2024-01-29;Material;436702;Vertrieb
2024-09-12;Energie;62083;Verwaltung
2024-02-18;Sonstiges;35057;Produktion
2024-04-18;Sonstiges;37766;IT
2024-01-24;Material;384500;Verwaltung
2024-04-01;Miete;43576;Produktion
