produktgruppe;menge;wert;letzte_bewegung
Software;47;42159.0;2024-09-09
Software;94;109792.0;2024-07-11
Maschinen;127;;2024-11-29
Ersatzteile;46;44804.0;2024-02-07
Maschinen;80;7280.0;2024-06-12
Wartung;31;6231.0;2024-06-24
Ersatzteile;101;38279.0;2024-02-08
Service;28;20776.0;2024-10-31
Service;128;190976.0;2024-01-16
Software;172;66564.0;2024-11-06
Software;45;7155.0;2024-02-21
Wartung;57;25023.0;2024-07-28
Service;189;218484.0;2024-05-15
Wartung;81;43416.0;2024-02-19
Maschinen;105;128100.0;2024-10-08
Software;44;7084.0;2024-07-03
Maschinen;114;26106.0;2024-05-30
Service;127;58166.0;2024-02-19
Maschinen;57;22743.0;2024-11-22
Wartung;25;25475.0;2024-02-29
Wartung;106;107484.0;2024-09-07
Wartung;28;38192.0;2024-10-05
Software;52;42068.0;2024-07-14
Wartung;52;50024.0;2024-01-23
Wartung;117;117234.0;2024-05-14
Ersatzteile;73;87965.0;2024-02-01
Ersatzteile;197;290772.0;2024-12-07
Maschinen;26;36868.0;2024-06-25
Service;110;138270.0;2024-04-26
Service;20;16840.0;2024-09-24
Software;142;206894.0;2024-08-31
Service;65;66625.0;2024-06-02
Maschinen;106;12826.0;2024-09-14
Service;137;167140.0;2024-12-12
Service;42;12432.0;2024-08-17
Ersatzteile;47;22701.0;2024-04-08
Ersatzteile;15;13755.0;2024-02-10
Software;56;74704.0;2024-03-16
Service;71;49984.0;2024-02-04
Maschinen;104;123656.0;2024-07-22
