datum;kunde;produktgruppe;menge;einzelpreis;gesamtbetrag
2024-11-23;Mueller GmbH;Maschinen;9;31049.0;279441
2024-04-24;Fa. Müller;Maschinen;18;20697.0;372546
2024-10-29;KraftWerk Solutions;Maschinen;1;21140.0;21140
2024-04-21;IndustriePartner KG;Service;20;517.0;10340
2024-10-14;IndustriePartner KG;Service;14;2105.0;29470
2024-08-17;;Wartung;1;1807.0;1807
2024-12-23;KraftWerk Solutions;Wartung;9;1773.0;15957
2024-04-20;Alpha Components GmbH;Maschinen;3;39898.0;119694
2024-02-19;Alpha Components GmbH;Wartung;20;2666.0;53320
2024-01-23;Meier Produktion GmbH;Service;4;7855.0;31420
2024-07-12;Schmidt AG;Service;10;;70940
2024-11-17;Bergmann Anlagenbau;Wartung;19;2075.0;39425
2024-12-26;Schmidt AG;Maschinen;8;65663.0;525304
2024-05-28;Schmidt AG;Ersatzteile;4;878.0;3512
2024-05-22;Meier Produktion GmbH;Wartung;6;3532.0;21192
15.03.2024;IndustriePartner KG;Wartung;3;1901.0;5703
2024-09-30;IndustriePartner KG;Ersatzteile;15;877.0;13155
2024-05-18;HanseTech AG;Ersatzteile;11;1826.0;20086
2024-01-29;IndustriePartner KG;Maschinen;11;41290.0;454190
2024-05-17;Schmidt AG;Ersatzteile;19;1894.0;35986
2024-06-10;IndustriePartner KG;Software;13;11532.0;149916
2024-08-22;TechBau GmbH;Wartung;5;2520.0;12600
2024-10-14;HanseTech AG;Wartung;19;4009.0;76171
2024-10-25;KraftWerk Solutions;Wartung;8;1633.0;13064
2024-09-17;Meier Produktion GmbH;Maschinen;2;71433.0;142866
2024-02-26;TechBau GmbH;Ersatzteile;14;1321.0;18494
2024-02-02;KraftWerk Solutions;Software;20;8668.0;173360
2024-09-27;NordMaschinen GmbH;Service;1;5872.0;5872
2024-02-28;HanseTech AG;Wartung;11;1413.0;15543
2024-05-30;KraftWerk Solutions;Ersatzteile;15;106.0;1590
2024-05-14;HanseTech AG;Ersatzteile;17;1969.0;33473
2024-02-24;NordMaschinen GmbH;Service;20;1929.0;38580
2024-03-19;Alpha Components GmbH;Ersatzteile;18;1694.0;30492
2024-09-28;Müller GmbH;Service;11;4302.0;47322
2024-01-10;Schmidt AG;Wartung;10;2461.0;24610
2024-01-30;IndustriePartner KG;Service;3;1001.0;3003
2024-09-05;Schmidt AG;Service;5;1351.0;6755
2024-12-03;Meier Produktion GmbH;Service;6;2471.0;14826
2024-09-27;Bergmann Anlagenbau;Software;7;9835.0;68845
2024-12-19;IndustriePartner KG;Wartung;13;3559.0;46267
2024-08-12;HanseTech AG;Software;4;5061.0;20244
2024-04-25;Schmidt AG;Wartung;1;2385.0;2385
2024-10-28;IndustriePartner KG;Maschinen;3;61389.0;184167
2024-11-19;Müller GmbH;Ersatzteile;3;1954.0;5862
2024-01-17;Alpha Components GmbH;Maschinen;17;30597.0;520149
2024-05-22;Meier Produktion GmbH;Ersatzteile;18;370.0;6660
2024-10-19;Bergmann Anlagenbau;Software;8;13855.0;110840
2024-08-30;KraftWerk Solutions;Ersatzteile;4;298.0;1192
2024-12-03;KraftWerk Solutions;Wartung;14;3867.0;54138
2024-08-27;Müller GmbH;Maschinen;2;41386.0;82772
2024-06-22;Schmidt AG;Ersatzteile;7;489.0;3423
2024-10-01;Meier Produktion GmbH;Ersatzteile;14;475.0;6650
2024-05-22;Meier Produktion GmbH;Ersatzteile;3;1007.0;3021
2024-10-08;Schmidt AG;Maschinen;18;69789.0;1256202
2024-01-08;Schmidt AG;Ersatzteile;6;932.0;5592
2024-09-05;Meier Produktion GmbH;Ersatzteile;13;1948.0;25324
2024-01-31;TechBau GmbH;Software;1;7396.0;7396
2024-05-15;Meier Produktion GmbH;Wartung;14;4486.0;62804
2024-03-20;IndustriePartner KG;Wartung;7;979.0;6853
2024-10-23;HanseTech AG;Maschinen;11;18746.0;206206
2024-01-26;Bergmann Anlagenbau;Software;17;14970.0;254490
2024-09-28;TechBau GmbH;Maschinen;17;20250.0;344250
2024-04-05;Schmidt AG;Service;3;5831.0;17493
2024-04-30;KraftWerk Solutions;Maschinen;19;31135.0;591565
2024-10-23;Bergmann Anlagenbau;Maschinen;20;20372.0;407440
2024-08-02;Bergmann Anlagenbau;Service;17;2891.0;49147
2024-05-13;IndustriePartner KG;Wartung;8;2675.0;21400
2024-07-21;TechBau GmbH;Wartung;15;3090.0;46350
2024-02-07;Müller GmbH;Software;20;10224.0;204480
2024-02-21;Schmidt AG;Service;7;4444.0;31108
2024-05-15;TechBau GmbH;Wartung;3;2501.0;7503
2024-07-08;NordMaschinen GmbH;Ersatzteile;15;1807.0;27105
2024-10-05;NordMaschinen GmbH;Service;17;364.0;6188
2024-12-07;HanseTech AG;Wartung;4;1600.0;6400
2024-05-15;Schmidt AG;Maschinen;18;25187.0;453366
2024-05-19;NordMaschinen GmbH;Service;7;6178.0;43246
2024-06-24;IndustriePartner KG;Wartung;17;4502.0;76534
2024-05-08;Müller GmbH;Maschinen;14;69352.0;970928
2024-05-21;Müller GmbH;Maschinen;11;65536.0;720896
2024-03-07;NordMaschinen GmbH;Ersatzteile;15;1229.0;18435
2024-12-27;KraftWerk Solutions;Service;1;1216.0;1216
2024-02-08;TechBau GmbH;Service;2;7137.0;14274
2024-07-08;Bergmann Anlagenbau;Service;5;3820.0;19100
2024-03-06;Müller GmbH;Wartung;12;826.0;9912
2024-07-02;IndustriePartner KG;Ersatzteile;4;824.0;3296
2024-10-13;KraftWerk Solutions;Service;5;7883.0;39415
2024-05-01;TechBau GmbH;Ersatzteile;14;150.0;2100
2024-04-01;Alpha Components GmbH;Software;8;5371.0;42968
2024-03-22;Schmidt AG;Software;2;8711.0;17422
2024-04-23;IndustriePartner KG;Software;12;6000.0;72000
2024-04-26;IndustriePartner KG;Maschinen;7;41113.0;287791
2024-06-17;NordMaschinen GmbH;Maschinen;9;38012.0;342108
2024-11-24;HanseTech AG;Software;18;6425.0;115650
2024-01-15;Schmidt AG;Wartung;6;2674.0;16044
2024-01-20;Schmidt AG;Service;14;3131.0;43834
2024-06-09;KraftWerk Solutions;Service;17;1247.0;21199
2024-07-16;Bergmann Anlagenbau;Ersatzteile;9;190.0;1710
2024-12-28;KraftWerk Solutions;Maschinen;17;75658.0;1286186
2024-10-02;IndustriePartner KG;Wartung;14;1073.0;15022
2024-12-06;Alpha Components GmbH;Service;11;5734.0;63074
2024-03-04;NordMaschinen GmbH;Service;10;5763.0;57630
2024-07-28;Alpha Components GmbH;Software;10;10083.0;100830
2024-03-06;IndustriePartner KG;Software;13;12097.0;157261
2024-03-30;Bergmann Anlagenbau;Service;10;3626.0;36260
2024-10-07;Müller GmbH;Wartung;10;2221.0;22210
2024-08-08;Bergmann Anlagenbau;Service;11;4109.0;45199
2024-08-14;Meier Produktion GmbH;Ersatzteile;17;1069.0;18173
2024-03-27;Schmidt AG;Wartung;17;3245.0;55165
2024-02-17;IndustriePartner KG;Wartung;8;2131.0;17048
2024-03-16;Müller GmbH;Maschinen;8;79483.0;635864
2024-08-31;Bergmann Anlagenbau;Maschinen;15;42160.0;632400
2024-11-18;Bergmann Anlagenbau;Ersatzteile;13;1112.0;14456
2024-07-23;IndustriePartner KG;Ersatzteile;1;1928.0;1928
2024-02-24;KraftWerk Solutions;Ersatzteile;6;1746.0;10476
2024-12-22;HanseTech AG;Software;2;10132.0;20264
2024-05-07;Schmidt AG;Software;5;14130.0;70650
2024-08-25;HanseTech AG;Service;20;2899.0;57980
