lieferant;rechnungsdatum;faelligkeitsdatum;betrag
Software Solutions AG;2024-08-26;2024-10-10;27641
Stahlhandel Weber;2024-10-01;2024-11-15;14607
Software Solutions AG;2024-06-06;2024-08-05;18367
Stahlhandel Weber;2024-02-16;2024-03-17;45961
Logistik Express;2024-12-26;2025-01-09;15091
Logistik Express;2024-03-16;2024-03-30;47606
ElektroTech Lieferanten GmbH;2024-07-01;2024-08-30;34650
Stahlhandel Weber;2024-12-12;2025-01-26;18050
ElektroTech Lieferanten GmbH;2024-01-16;2024-03-16;30635
MaschinenService Süd;2024-10-08;2024-11-07;7207
Software Solutions AG;2024-02-22;2024-03-23;8959
Stahlhandel Weber;2024-02-01;2024-03-02;9566
ElektroTech Lieferanten GmbH;2024-07-24;2024-09-07;45976
Stahlhandel Weber;2024-10-25;2024-12-09;5914
Stahlhandel Weber;2024-02-03;2024-03-04;43335
Software Solutions AG;2024-03-06;2024-03-20;22728
Stahlhandel Weber;2024-01-22;2024-03-22;4318
ElektroTech Lieferanten GmbH;2024-10-20;2024-12-19;48476
Software Solutions AG;2024-09-11;2024-09-25;26082
Software Solutions AG;2024-03-29;2024-05-13;15071
ElektroTech Lieferanten GmbH;2024-05-20;2024-07-04;30229
ElektroTech Lieferanten GmbH;2024-01-18;2024-02-17;43420
Logistik Express;2024-09-12;2024-11-11;37089
Software Solutions AG;2024-02-01;2024-02-15;19335
Software Solutions AG;2024-03-11;2024-05-10;14071
MaschinenService Süd;2024-05-07;2024-05-21;26067
Logistik Express;2024-09-02;2024-11-01;23546
MaschinenService Süd;2024-09-14;2024-10-29;26452
Logistik Express;2024-04-02;2024-04-16;21897
MaschinenService Süd;2024-04-22;2024-05-06;19411
Stahlhandel Weber;2024-08-29;2024-10-13;39272
ElektroTech Lieferanten GmbH;2024-03-22;2024-04-05;17243
ElektroTech Lieferanten GmbH;2024-05-16;2024-05-30;15379
MaschinenService Süd;2024-07-17;2024-08-31;12384
ElektroTech Lieferanten GmbH;2024-05-01;2024-06-15;49372
Logistik Express;2024-10-29;2024-11-12;47101
Logistik Express;2024-10-17;2024-11-16;37903
ElektroTech Lieferanten GmbH;2024-09-09;2024-10-24;12505
Software Solutions AG;2024-01-20;2024-02-03;4681
ElektroTech Lieferanten GmbH;2024-11-04;2024-12-04;2306
MaschinenService Süd;2024-09-01;2024-09-15;22740
MaschinenService Süd;2024-04-13;2024-05-13;23331
ElektroTech Lieferanten GmbH;2024-06-14;2024-06-28;2436
ElektroTech Lieferanten GmbH;2024-10-27;2024-11-26;8269
MaschinenService Süd;2024-07-05;2024-07-19;25483
Software Solutions AG;2024-10-27;2024-11-10;23056
Logistik Express;2024-06-14;2024-07-14;11322
Software Solutions AG;2024-11-23;2025-01-22;43544
Logistik Express;2024-03-30;2024-05-14;15630
MaschinenService Süd;2024-03-30;2024-05-29;21107
Logistik Express;2024-03-06;2024-04-05;48764
Stahlhandel Weber;2024-12-25;2025-02-23;38190
Stahlhandel Weber;2024-04-03;2024-05-18;41067
ElektroTech Lieferanten GmbH;2024-11-23;2024-12-07;33517
ElektroTech Lieferanten GmbH;2024-06-18;2024-07-02;16597
Logistik Express;2024-06-12;2024-07-12;42693
Stahlhandel Weber;2024-12-28;2025-02-11;30270
Stahlhandel Weber;2024-05-15;2024-06-14;17353
Stahlhandel Weber;2024-06-28;2024-08-12;8080
Stahlhandel Weber;2024-01-25;2024-03-25;29719
